,trip_distance
283,2.0285142278107524
284,1.94482266204141
285,1.8467563826787052
286,1.9509372374927971
287,1.9357485744457381
288,2.0214418737766064
289,1.9709156517671813
290,1.9017283382243677
291,2.0903299841967713
292,1.9400724196245345
293,2.076745408876885
294,1.948088499989486
295,1.84990937201244
296,1.9312043172879279
297,0.7061241576394567
298,0.801783579984312
299,0.8298275216292894
300,2.577869447956444
301,2.5254489655719032
302,2.701478386719186
303,2.6666084832032557
304,2.5453773214503386
305,2.5302161311266445
306,2.572510884759003
307,2.594569521270334
308,2.655550157425285
309,2.4438602826924107
310,2.46472134680325
311,2.587539815273424
312,2.5982546396183914
313,2.5480430545657824
314,2.747422488081742
315,2.6474697560599587
316,2.4047005007278113
317,2.64227300935308
318,0.9023230714040216
319,0.6344421926891713
320,2.0521609783804546
321,2.2109411108771506
322,2.1312238334655795
323,2.1552832377987743
324,2.29115102852353
325,2.1013103085714895
326,2.0548036344759684
327,2.122237415962413
328,2.291625331177844
329,2.094200978569998
330,2.2443586029075457
331,2.1197154377136007
332,2.1272236788086523
333,2.1403526957774903
334,1.9688718215612564
335,2.172337976134836
336,2.2364060229397476
337,2.029864068827296
338,2.229580089184984
339,2.15788182095158
340,2.2448606629353853
341,2.1461423330801708
342,2.2527016543161773
343,1.958811300639622
344,2.0350361591221557
345,2.1541255118650815
346,8.59897813274673
347,8.576354669560782
379,22.739766283616394
409,1.8139627286161784
410,2.0162602167774857
411,1.8804978320440402
412,1.970499671999123
413,1.9917703248026726
414,1.9215372562419435
415,1.9176687728021313
416,1.86550217740764
417,1.9683140841661964
418,2.040148519893739
419,1.9971233183477903
420,1.9464075570598898
421,2.0546285783096927
422,1.906497971778609
423,3.2443762470002557
424,3.399913770169511
425,3.2046753381045
426,3.4356866562006285
427,3.442418427520458
428,3.2663921056450596
429,3.248383803740492
430,3.3368830624492514
431,3.2795192522569203
432,3.107341594924282
433,3.121401824287461
434,3.3683728872329994
435,3.2566511893771133
436,3.2497300533367515
437,3.3024586431100578
438,3.3275242322308136
439,3.1245967223967517
440,3.2483809025546373
441,3.2323483911528794
442,3.385633354065409
443,3.41541449297068
444,3.29426286730261
445,3.208138731775838
446,3.228004933500912
447,3.2424986289896633
448,3.2577734344661238
449,3.3587582364728723
450,1.3759474007113839
451,1.1650650137315381
452,4.005545839055237
453,4.05275497692083
454,3.9387379438235133
455,4.087960798907354
456,3.986506448162001
457,4.002795016413181
458,4.030804491957543
459,3.983528811303642
460,4.021913405515135
461,4.140923580922129
462,3.863172564270274
463,4.084489154634758
464,4.129399619835306
465,3.8521945450756916
466,3.1280661798251175
467,3.233870450064635
468,3.424811339734046
469,3.3043564196146122
470,3.127780356561985
471,3.2653149523808778
472,3.218890319838304
473,3.379489814456599
474,3.355098008078217
475,3.2415976498656054
476,3.368643580770969
477,3.282667844214957
478,3.2699501282216428
479,3.231784341646449
480,3.317424514850612
483,0.5929153495244748
484,0.7054697619634617
485,0.5620581473075384
486,0.4962458613707548
487,0.7712001972042567
488,0.7468939378496221
489,0.4897079426223984
490,0.7110449590895869
491,0.7177924138960174
492,0.7165759959017877
493,0.6854897216061575
494,0.6587387866090063
495,0.7156163069593722
496,0.5307328439893267
497,3.089654680385082
498,2.9272037450388786
499,2.8657581619721437
500,2.9728554970467522
501,2.9603540239791295
502,3.0101986096633047
503,2.973590743713508
504,3.03973960858852
505,2.838703269290222
506,2.846392874268086
507,2.9851994934356765
508,2.874153826392814
509,2.920828406103833
510,3.0414576672868905
511,2.9108134358568933
512,2.8630327258195933
513,2.9832249767032746
514,3.08951587385902
515,2.878351448641758
516,2.9608280887358362
517,3.0881621121531104
518,3.143279055168615
519,2.913460519097314
520,2.8702192013141894
521,2.8494071577401363
522,2.9183876016451578
523,3.012327499086298
524,3.060825356964692
525,2.9872386233244432
526,2.9165696065457585
527,3.100119663035915
528,2.8716311851007603
529,2.91011234004979
530,3.0044518404035094
531,2.8889188043960496
532,2.9819963275485106
533,2.9043472750874435
534,2.973367453063925
535,2.9474517681957315
536,2.8147351813133934
537,2.9306475459557344
538,3.0596664893141186
539,3.079814301757087
540,2.967456680018342
542,2.252440904271276
543,2.3117325957855845
544,2.477871018539832
545,2.3231941626036505
546,2.4528707403686774
547,2.358401991009863
548,2.378726253041474
549,2.3856237326486585
550,2.428639754855151
551,2.4413706797822354
552,2.3693044362908315
553,2.4724466150387885
554,2.4227827808855382
555,2.3406667728785293
556,2.4061210879747286
557,2.4393286972777792
558,2.5940817400406404
559,2.356820273939433
560,2.422013247249702
561,2.287104179429142
562,2.426677480662136
563,2.4102586219534707
564,2.4169388724467065
565,2.5791246459910417
566,2.410154722582643
567,2.4280763403045165
568,2.484861891260709
569,2.4035251537995075
570,2.368022757069745
571,2.2192553863256115
572,2.3572508621579504
573,2.256531932425463
574,2.411255051482831
575,2.510723990310881
576,2.3903058253519163
577,2.45571802275094
578,2.4506106901949956
579,2.397930955063445
580,2.3962138128980173
581,2.4732005155574033
582,2.46096732011202
583,2.5776884512498333
584,2.5553636653183784
585,2.2525143100057146
586,2.5001602465654544
587,2.5598601171300444
588,2.437795930776326
589,2.413557060888988
590,2.3941870910342766
591,2.4619745228057
592,2.4711343281667673
593,2.458885468119621
594,2.417450555697143
595,2.3983427701183673
596,2.536616958266955
597,2.401195509512158
598,2.4143627031046866
599,2.3456740033936634
600,2.384501977336602
601,2.3600242649582053
602,2.3853026484156548
603,2.4046247415328463
604,2.442146553104906
605,2.319247478012451
606,2.351112683319869
607,2.4184259319190162
608,2.4723766291311073
609,2.3378852507471963
610,2.3956977912607225
611,2.3725120574926617
612,2.3557498392868945
613,2.4020549230113963
614,2.402570129103223
615,2.3957849981102584
616,2.2999812341383152
617,2.2142628114715017
618,2.4333659538435937
619,2.3002026992178775
620,2.4892483184875807
621,2.433514679272476
622,2.494607633024284
623,2.2321145864101153
624,2.3868870461237597
625,2.4645103303747278
626,2.4018114699688162
627,2.436710541247151
628,2.3411159146445812
629,2.403604630302486
630,2.509960796407504
631,2.3295378972684886
632,2.550538164147153
634,1.3665868942696822
635,1.4542651257124384
636,1.4246124569881562
637,1.3935616071093335
638,1.4764737172641749
639,1.4331468696592313
640,1.4103406983927356
641,1.359015998948251
642,1.4711904160446565
643,1.4076514240488658
644,1.4026281098152797
645,1.30382842371867
646,1.4103949738838255
647,1.3856641081879228
648,1.4392556037439364
649,1.4788288890883694
650,1.412879299335888
651,1.3586934319756214
652,1.5257733723902929
653,1.3957479983420367
654,1.4198263434743401
660,2.0673898253392653
661,1.9674653207374986
662,2.0277556288112986
663,2.039332303098535
664,2.1112173153631137
665,4.427483474057394
666,4.382607715890277
667,0.8091492420229196
668,0.8946586228693726
669,0.8168623127246039
674,26.91875800762569
675,2.079553482649965
676,2.125452206170002
677,2.3489498226276933
678,2.157655709781438
679,1.996419998638355
680,2.047749461828509
681,2.2074940702183237
682,4.560893709209918
683,4.478740629925933
684,4.529170217628063
685,4.663304460265649
686,4.560179457804026
687,4.477543309573658
688,4.581919124332088
689,4.658545484117625
690,4.422642719057193
691,4.611154869337505
692,4.572633100519755
693,4.451262694139775
694,4.628973280542242
695,4.521696363459687
696,4.465691466409871
697,4.494008877669366
698,4.541613399755214
699,4.630551381219296
700,4.434274134169373
701,4.3973777734503
702,4.417574577362653
703,4.502307459058112
704,4.659043227895501
705,2.1037356190796883
706,2.1495690379576464
707,2.13557520705494
708,2.301087376794349
709,2.103676360796992
710,2.381351547420094
711,2.25299784891714
712,2.123196701777687
713,5.739944109867548
714,5.934980943873778
715,5.80911187356815
716,23.552865975413532
717,23.669721819513526
718,23.523254216540952
719,23.667836735150555
720,23.599345015401294
721,23.5326793888051
722,23.56044668460337
723,23.40965317113838
724,23.559220643225668
725,23.371723424305383
726,23.545229292877483
727,23.58896316605615
733,7.904217346066105
736,3.527227759861264
737,3.5243916141768654
738,3.4215415335309216
739,3.5176402956041426
740,3.6520259176340284
741,3.6083848606566327
742,3.5681643111219037
743,3.4764612505052845
744,3.5280862850151813
745,3.5029395960968164
746,3.482182975607545
